strategy,seed,assayed,rmse,ece,hits,best_pic50
uncertainty,2,120,1.103903889656067,0.08433332294225693,4,8.602060317993164
uncertainty,2,180,1.0276331901550293,0.05499998480081558,4,8.602060317993164
uncertainty,2,240,1.063399076461792,0.042333319783210754,9,9.154901504516602
uncertainty,2,300,1.0565893650054932,0.03999998793005943,11,9.154901504516602
uncertainty,2,360,1.020002841949463,0.029999980702996254,24,9.154901504516602
uncertainty,2,420,1.1448627710342407,0.0559999905526638,26,9.154901504516602
greedy,0,60,1.2807416915893555,0.06633331626653671,0,8.216096878051758
greedy,0,120,1.0775830745697021,0.03433331474661827,4,9.0
greedy,0,180,1.1294301748275757,0.01677778735756874,9,9.0
greedy,0,240,1.2898569107055664,0.07633331418037415,14,9.0
greedy,0,300,1.3178856372833252,0.03799998387694359,25,9.0
greedy,0,360,1.3774755001068115,0.04266665503382683,36,9.004364967346191
greedy,0,420,1.2091946601867676,0.027999985963106155,43,9.004364967346191
greedy,1,60,1.0752086639404297,0.08499998599290848,3,9.154901504516602
greedy,1,120,1.0650454759597778,0.014000012539327145,14,9.154901504516602
greedy,1,180,1.104539394378662,0.06177779659628868,24,9.154901504516602
greedy,1,240,1.0659211874008179,0.023666679859161377,34,9.154901504516602
greedy,1,300,1.100095272064209,0.025000015273690224,43,9.154901504516602
greedy,1,360,1.261454463005066,0.03166666626930237,48,9.154901504516602
greedy,1,420,1.2798610925674438,0.03155554085969925,55,9.154901504516602
greedy,2,60,1.166905164718628,0.10833332687616348,2,8.568635940551758
greedy,2,120,1.220170259475708,0.07666664570569992,13,9.0
greedy,2,180,1.182936668395996,0.06666664779186249,27,9.0
greedy,2,240,1.1844217777252197,0.06066665053367615,30,9.0
greedy,2,300,1.298258662223816,0.03688887134194374,40,9.004364967346191
greedy,2,360,1.318552017211914,0.0639999732375145,45,9.004364967346191
greedy,2,420,1.402174472808838,0.09433332085609436,52,9.004364967346191
ucb,0,60,1.2821743488311768,0.06633331626653671,0,8.216096878051758
ucb,0,120,1.0910027027130127,0.12133332341909409,1,8.602060317993164
ucb,0,180,1.1673688888549805,0.04566665366292,3,8.602060317993164
ucb,0,240,1.0835144519805908,0.05766664072871208,8,9.522878646850586
ucb,0,300,1.1263419389724731,0.06899997591972351,14,9.522878646850586
ucb,0,360,1.1026734113693237,0.03533331677317619,26,9.522878646850586
ucb,0,420,1.0801624059677124,0.02666665054857731,42,9.522878646850586
ucb,1,60,1.073397159576416,0.08233331888914108,3,9.154901504516602
ucb,1,120,1.0588133335113525,0.016999997198581696,9,9.154901504516602
ucb,1,180,1.0639207363128662,0.015666663646697998,19,9.154901504516602
ucb,1,240,1.1250959634780884,0.06166664883494377,23,9.154901504516602
ucb,1,300,1.0482275485992432,0.018999997526407242,33,9.154901504516602
ucb,1,360,1.0379343032836914,0.028000006452202797,40,9.154901504516602
ucb,1,420,1.15030038356781,0.08766665309667587,52,9.154901504516602
ucb,2,60,1.1657544374465942,0.10666666179895401,2,8.568635940551758
ucb,2,120,1.2356683015823364,0.1003333106637001,12,9.0
ucb,2,180,1.203853964805603,0.059666652232408524,26,9.0
ucb,2,240,1.1948696374893188,0.09733331948518753,36,9.004364967346191
ucb,2,300,1.3020356893539429,0.0846666544675827,39,9.004364967346191
ucb,2,360,1.1690020561218262,0.05499998480081558,44,9.004364967346191
ucb,2,420,1.2293256521224976,0.055333323776721954,54,9.004364967346191
combined,0,60,1.285974144935608,0.06755553930997849,0,8.216096878051758
combined,0,120,1.1651490926742554,0.09733331948518753,0,8.216096878051758
combined,0,180,1.0873401165008545,0.08233332633972168,6,8.602060317993164
combined,0,240,1.1803278923034668,0.07366665452718735,8,10.522878646850586
combined,0,300,1.1767947673797607,0.061999984085559845,14,10.522878646850586
combined,0,360,1.114424705505371,0.04199998453259468,17,10.522878646850586
combined,0,420,1.1297210454940796,0.05033331736922264,23,10.522878646850586
combined,1,60,1.0726369619369507,0.08233331888914108,3,9.154901504516602
combined,1,120,1.108572244644165,0.06966665387153625,5,10.522878646850586
combined,1,180,1.0443909168243408,0.030666647478938103,10,10.522878646850586
combined,1,240,0.9886073470115662,0.019888902083039284,12,10.522878646850586
combined,1,300,1.0065850019454956,0.01311108935624361,17,10.522878646850586
combined,1,360,0.9994511604309082,0.01700001023709774,19,10.522878646850586
combined,1,420,0.9664362072944641,0.013666671700775623,26,10.522878646850586
combined,2,60,1.1649757623672485,0.10699999332427979,2,8.568635940551758
combined,2,120,1.2202397584915161,0.11433332413434982,5,9.522878646850586
combined,2,180,1.0557291507720947,0.056666649878025055,13,10.522878646850586
combined,2,240,1.1144729852676392,0.06699997931718826,16,10.522878646850586
combined,2,300,1.1153768301010132,0.07533331960439682,22,10.522878646850586
combined,2,360,1.0513355731964111,0.0456666462123394,23,10.522878646850586
combined,2,420,1.0675749778747559,0.03833332285284996,27,10.522878646850586
